Nombre d'accusatifs = 291
pl_lfg-ud-test, Nearest=Acc, Distance=0.00340, Self=0.00461, Diff=0.00121
pl_lfg-ud-train, Nearest=Dat, Distance=0.00389, Self=0.00558, Diff=0.00169
pl_lfg-ud-dev, Nearest=Acc, Distance=0.00380, Self=0.00547, Diff=0.00167
tr_tourism-ud-train, Nearest=Gen, Distance=0.00268, Self=0.00268, Diff=0.00000
tr_tourism-ud-dev, Nearest=Gen, Distance=0.00361, Self=0.00361, Diff=0.00000
tr_tourism-ud-test, Nearest=Gen, Distance=0.00414, Self=0.00414, Diff=0.00000
cs_poetry-ud-test, Nearest=Gen, Distance=0.00111, Self=0.00111, Diff=0.00000
ru_gsd-ud-test, Nearest=Gen, Distance=0.00088, Self=0.00088, Diff=0.00000
ru_gsd-ud-dev, Nearest=Gen, Distance=0.00136, Self=0.00136, Diff=0.00000
ru_gsd-ud-train, Nearest=Gen, Distance=0.00111, Self=0.00111, Diff=0.00000
tr_imst-ud-train, Nearest=Acc, Distance=0.00188, Self=0.00212, Diff=0.00024
tr_imst-ud-dev, Nearest=Acc, Distance=0.00152, Self=0.00188, Diff=0.00036
tr_imst-ud-test, Nearest=Gen, Distance=0.00155, Self=0.00155, Diff=0.00000
lv_cairo-ud-test, Nearest=Acc, Distance=0.00494, Self=0.00612, Diff=0.00118
bxr_bdt-ud-test, Nearest=Gen, Distance=0.00229, Self=0.00229, Diff=0.00000
tr_boun-ud-dev, Nearest=Acc, Distance=0.00187, Self=0.00218, Diff=0.00030
tr_boun-ud-test, Nearest=Gen, Distance=0.00170, Self=0.00170, Diff=0.00000
tr_boun-ud-train, Nearest=Acc, Distance=0.00233, Self=0.00258, Diff=0.00025
tr_penn-ud-dev, Nearest=Gen, Distance=0.00254, Self=0.00254, Diff=0.00000
tr_penn-ud-test, Nearest=Gen, Distance=0.00158, Self=0.00158, Diff=0.00000
tr_penn-ud-train, Nearest=Gen, Distance=0.00223, Self=0.00223, Diff=0.00000
Confusion:
	Gen: 172
	Acc: 68
	Dat: 40
	Nom: 11
